epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.86199,1.00495,1.76483,0.91442,0.88651,0.87541,0.95093,0.62861,1.05162,1.17866,0.86699,2.307e-05,7.69e-06,2.307e-05,7.69e-06,2.307e-05,7.69e-06,2.307e-05,7.69e-06
2,9.46633,1.00576,1.51829,0.89602,0.88648,0.87516,0.9513,0.62977,1.05048,1.17612,0.86687,6.87532e-05,2.29177e-05,6.87532e-05,2.29177e-05,6.87532e-05,2.29177e-05,6.87532e-05,2.29177e-05
3,13.0438,0.95785,1.71483,0.89739,0.8868,0.87798,0.9531,0.63114,1.04757,1.17144,0.86639,0.000113827,3.79425e-05,0.000113827,3.79425e-05,0.000113827,3.79425e-05,0.000113827,3.79425e-05
4,16.456,0.95837,1.65243,0.88068,0.88608,0.87931,0.95392,0.63345,1.04461,1.16452,0.86605,0.000158292,5.27642e-05,0.000158292,5.27642e-05,0.000158292,5.27642e-05,0.000158292,5.27642e-05
5,19.664,1.08971,1.64353,0.9186,0.88817,0.89005,0.95587,0.63519,1.04116,1.15554,0.86529,0.000202149,6.73829e-05,0.000202149,6.73829e-05,0.000202149,6.73829e-05,0.000202149,6.73829e-05
6,22.8577,1.13647,1.44104,0.95687,0.88817,0.89005,0.95587,0.63519,1.04116,1.15554,0.86529,0.000245396,8.17985e-05,0.000245396,8.17985e-05,0.000245396,8.17985e-05,0.000245396,8.17985e-05
7,26.2829,0.98014,1.56909,0.91163,0.8885,0.89302,0.95845,0.63754,1.03848,1.14491,0.86498,0.000288034,9.60112e-05,0.000288034,9.60112e-05,0.000288034,9.60112e-05,0.000288034,9.60112e-05
8,29.7311,0.91555,1.69774,0.86495,0.8885,0.89302,0.95845,0.63754,1.03848,1.14491,0.86498,0.000330062,0.000110021,0.000330062,0.000110021,0.000330062,0.000110021,0.000330062,0.000110021
9,33.2798,1.02266,1.65936,0.90531,0.90318,0.88465,0.96277,0.64588,1.02866,1.12689,0.86339,0.000371482,0.000123827,0.000371482,0.000123827,0.000371482,0.000123827,0.000371482,0.000123827
10,36.615,0.97237,1.65831,0.91403,0.90318,0.88465,0.96277,0.64588,1.02866,1.12689,0.86339,0.000412293,0.000137431,0.000412293,0.000137431,0.000412293,0.000137431,0.000412293,0.000137431
11,39.8125,0.9817,1.43443,0.87274,0.91183,0.89155,0.96722,0.65362,1.02071,1.10604,0.86216,0.000452495,0.000150832,0.000452495,0.000150832,0.000452495,0.000150832,0.000452495,0.000150832
12,43.1683,1.00793,1.56123,0.92143,0.91183,0.89155,0.96722,0.65362,1.02071,1.10604,0.86216,0.000492088,0.000164029,0.000492088,0.000164029,0.000492088,0.000164029,0.000492088,0.000164029
13,46.4649,1.01977,1.66928,0.93783,0.91183,0.89155,0.96722,0.65362,1.02071,1.10604,0.86216,0.000531071,0.000177024,0.000531071,0.000177024,0.000531071,0.000177024,0.000531071,0.000177024
14,49.9526,0.93779,1.61335,0.87737,0.91424,0.91908,0.97093,0.66315,1.01243,1.08557,0.86121,0.000569446,0.000189815,0.000569446,0.000189815,0.000569446,0.000189815,0.000569446,0.000189815
15,53.3038,1.05045,1.4486,0.93277,0.91424,0.91908,0.97093,0.66315,1.01243,1.08557,0.86121,0.000607212,0.000202404,0.000607212,0.000202404,0.000607212,0.000202404,0.000607212,0.000202404
16,56.6905,0.87108,1.68575,0.90374,0.91424,0.91908,0.97093,0.66315,1.01243,1.08557,0.86121,0.000644368,0.000214789,0.000644368,0.000214789,0.000644368,0.000214789,0.000644368,0.000214789
17,59.818,1.26352,1.37523,1.01438,0.91424,0.91908,0.97093,0.66315,1.01243,1.08557,0.86121,0.000680916,0.000226972,0.000680916,0.000226972,0.000680916,0.000226972,0.000680916,0.000226972
18,63.2848,1.15981,1.59414,1.03308,0.90424,0.94828,0.97349,0.67053,1.01144,1.06287,0.86079,0.000716854,0.000238951,0.000716854,0.000238951,0.000716854,0.000238951,0.000716854,0.000238951
19,66.59,1.01468,1.54373,0.88032,0.90424,0.94828,0.97349,0.67053,1.01144,1.06287,0.86079,0.000752184,0.000250728,0.000752184,0.000250728,0.000752184,0.000250728,0.000752184,0.000250728
20,69.9879,0.95375,1.60756,0.86905,0.90424,0.94828,0.97349,0.67053,1.01144,1.06287,0.86079,0.000786904,0.000262301,0.000786904,0.000262301,0.000786904,0.000262301,0.000786904,0.000262301
21,73.3541,1.04333,1.44789,0.8836,0.90424,0.94828,0.97349,0.67053,1.01144,1.06287,0.86079,0.000821015,0.000273672,0.000821015,0.000273672,0.000821015,0.000273672,0.000821015,0.000273672
22,76.7048,1.02435,1.63481,0.87977,0.90424,0.94828,0.97349,0.67053,1.01144,1.06287,0.86079,0.000854517,0.000284839,0.000854517,0.000284839,0.000854517,0.000284839,0.000854517,0.000284839
23,80.0691,0.99455,1.43489,0.86984,0.9085,0.94154,0.97751,0.68018,1.00405,1.04737,0.86011,0.000887411,0.000295804,0.000887411,0.000295804,0.000887411,0.000295804,0.000887411,0.000295804
24,83.4211,1.01175,1.41392,0.95826,0.9085,0.94154,0.97751,0.68018,1.00405,1.04737,0.86011,0.000919695,0.000306565,0.000919695,0.000306565,0.000919695,0.000306565,0.000919695,0.000306565
25,86.765,1.11323,1.48526,0.96526,0.9085,0.94154,0.97751,0.68018,1.00405,1.04737,0.86011,0.00095137,0.000317123,0.00095137,0.000317123,0.00095137,0.000317123,0.00095137,0.000317123
26,90.1574,0.9689,1.45362,0.91534,0.9085,0.94154,0.97751,0.68018,1.00405,1.04737,0.86011,0.000982436,0.000327479,0.000982436,0.000327479,0.000982436,0.000327479,0.000982436,0.000327479
27,93.4768,1.1097,1.2784,0.95562,0.9085,0.94154,0.97751,0.68018,1.00405,1.04737,0.86011,0.00101289,0.000337631,0.00101289,0.000337631,0.00101289,0.000337631,0.00101289,0.000337631
28,96.8356,1.03882,1.416,0.95696,0.9085,0.94154,0.97751,0.68018,1.00405,1.04737,0.86011,0.00104274,0.00034758,0.00104274,0.00034758,0.00104274,0.00034758,0.00104274,0.00034758
29,100.065,0.99037,1.37309,0.89311,0.9085,0.94154,0.97751,0.68018,1.00405,1.04737,0.86011,0.00107198,0.000357327,0.00107198,0.000357327,0.00107198,0.000357327,0.00107198,0.000357327
30,103.488,0.99185,1.33467,0.92448,0.93961,0.93888,0.98477,0.67856,1.00183,1.01984,0.85949,0.00110061,0.00036687,0.00110061,0.00036687,0.00110061,0.00036687,0.00110061,0.00036687
31,106.87,0.93054,1.29896,0.89606,0.93961,0.93888,0.98477,0.67856,1.00183,1.01984,0.85949,0.00112863,0.00037621,0.00112863,0.00037621,0.00112863,0.00037621,0.00112863,0.00037621
32,110.266,0.95401,1.57197,0.87479,0.93961,0.93888,0.98477,0.67856,1.00183,1.01984,0.85949,0.00115604,0.000385347,0.00115604,0.000385347,0.00115604,0.000385347,0.00115604,0.000385347
33,113.605,1.0257,1.42413,0.9817,0.93961,0.93888,0.98477,0.67856,1.00183,1.01984,0.85949,0.00118285,0.000394282,0.00118285,0.000394282,0.00118285,0.000394282,0.00118285,0.000394282
34,116.905,0.97811,1.354,0.92435,0.93961,0.93888,0.98477,0.67856,1.00183,1.01984,0.85949,0.00120904,0.000403013,0.00120904,0.000403013,0.00120904,0.000403013,0.00120904,0.000403013
35,120.15,0.90463,1.39682,0.88339,0.93961,0.93888,0.98477,0.67856,1.00183,1.01984,0.85949,0.00123462,0.000411541,0.00123462,0.000411541,0.00123462,0.000411541,0.00123462,0.000411541
36,123.556,0.87857,1.37601,0.86705,0.93961,0.93888,0.98477,0.67856,1.00183,1.01984,0.85949,0.0012596,0.000419866,0.0012596,0.000419866,0.0012596,0.000419866,0.0012596,0.000419866
37,126.995,0.99897,1.33756,0.91151,0.93961,0.93888,0.98477,0.67856,1.00183,1.01984,0.85949,0.00128397,0.000427988,0.00128397,0.000427988,0.00128397,0.000427988,0.00128397,0.000427988
38,130.523,1.18065,1.30565,0.97111,0.94089,0.94828,0.9835,0.68818,0.98857,1.01358,0.85709,0.00130772,0.000435908,0.00130772,0.000435908,0.00130772,0.000435908,0.00130772,0.000435908
39,134.001,1.00633,1.36851,0.91076,0.94089,0.94828,0.9835,0.68818,0.98857,1.01358,0.85709,0.00133087,0.000443624,0.00133087,0.000443624,0.00133087,0.000443624,0.00133087,0.000443624
40,137.434,0.93074,1.41335,0.92517,0.94089,0.94828,0.9835,0.68818,0.98857,1.01358,0.85709,0.00135341,0.000451137,0.00135341,0.000451137,0.00135341,0.000451137,0.00135341,0.000451137
41,140.527,1.11736,1.57625,1.01062,0.94089,0.94828,0.9835,0.68818,0.98857,1.01358,0.85709,0.00137534,0.000458447,0.00137534,0.000458447,0.00137534,0.000458447,0.00137534,0.000458447
42,143.976,0.91463,1.20475,0.87813,0.94089,0.94828,0.9835,0.68818,0.98857,1.01358,0.85709,0.00139666,0.000465554,0.00139666,0.000465554,0.00139666,0.000465554,0.00139666,0.000465554
43,147.412,0.91961,1.51309,0.90762,0.94089,0.94828,0.9835,0.68818,0.98857,1.01358,0.85709,0.00141737,0.000472458,0.00141737,0.000472458,0.00141737,0.000472458,0.00141737,0.000472458
44,150.816,1.12262,1.56101,0.92521,0.94089,0.94828,0.9835,0.68818,0.98857,1.01358,0.85709,0.00143748,0.000479159,0.00143748,0.000479159,0.00143748,0.000479159,0.00143748,0.000479159
45,154.251,0.95975,1.58721,0.94168,0.94089,0.94828,0.9835,0.68818,0.98857,1.01358,0.85709,0.00145697,0.000485657,0.00145697,0.000485657,0.00145697,0.000485657,0.00145697,0.000485657
46,157.73,0.98236,1.52548,0.87719,0.94089,0.94828,0.9835,0.68818,0.98857,1.01358,0.85709,0.00147586,0.000491952,0.00147586,0.000491952,0.00147586,0.000491952,0.00147586,0.000491952
47,160.934,0.93923,1.43779,0.88713,0.94089,0.94828,0.9835,0.68818,0.98857,1.01358,0.85709,0.00149413,0.000498044,0.00149413,0.000498044,0.00149413,0.000498044,0.00149413,0.000498044
48,164.453,0.94961,1.45283,0.87915,0.94286,0.97414,0.99138,0.70342,0.97217,0.97031,0.85475,0.0015118,0.000503933,0.0015118,0.000503933,0.0015118,0.000503933,0.0015118,0.000503933
49,167.982,0.93595,1.37435,0.87525,0.94286,0.97414,0.99138,0.70342,0.97217,0.97031,0.85475,0.00152886,0.000509619,0.00152886,0.000509619,0.00152886,0.000509619,0.00152886,0.000509619
50,171.451,0.87345,1.21609,0.87079,0.94286,0.97414,0.99138,0.70342,0.97217,0.97031,0.85475,0.00154531,0.000515102,0.00154531,0.000515102,0.00154531,0.000515102,0.00154531,0.000515102
51,174.836,0.88949,1.35914,0.86059,0.94286,0.97414,0.99138,0.70342,0.97217,0.97031,0.85475,0.00154569,0.00051523,0.00154569,0.00051523,0.00154569,0.00051523,0.00154569,0.00051523
52,178.178,0.93267,1.40392,0.90432,0.94286,0.97414,0.99138,0.70342,0.97217,0.97031,0.85475,0.00153046,0.000510155,0.00153046,0.000510155,0.00153046,0.000510155,0.00153046,0.000510155
53,181.339,0.98404,1.23664,0.90708,0.94286,0.97414,0.99138,0.70342,0.97217,0.97031,0.85475,0.00151524,0.000505079,0.00151524,0.000505079,0.00151524,0.000505079,0.00151524,0.000505079
54,184.632,0.94658,1.39261,0.92726,0.94286,0.97414,0.99138,0.70342,0.97217,0.97031,0.85475,0.00150001,0.000500004,0.00150001,0.000500004,0.00150001,0.000500004,0.00150001,0.000500004
55,188.032,0.98152,1.32271,0.90533,0.94286,0.97414,0.99138,0.70342,0.97217,0.97031,0.85475,0.00148479,0.000494928,0.00148479,0.000494928,0.00148479,0.000494928,0.00148479,0.000494928
56,191.44,0.97751,1.2534,0.88918,0.94286,0.97414,0.99138,0.70342,0.97217,0.97031,0.85475,0.00146956,0.000489853,0.00146956,0.000489853,0.00146956,0.000489853,0.00146956,0.000489853
57,194.932,1.11969,1.25671,0.99714,0.94286,0.97414,0.99138,0.70342,0.97217,0.97031,0.85475,0.00145433,0.000484778,0.00145433,0.000484778,0.00145433,0.000484778,0.00145433,0.000484778
