epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.20702,2.63677,6.04377,1.31521,0.01389,0.21552,0.03362,0.02306,1.87789,6.00625,1.17601,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05
2,9.88584,2.4675,6.05177,1.2798,0.01389,0.21552,0.03949,0.028,1.85602,5.98679,1.16762,0.00029802,9.934e-05,0.00029802,9.934e-05,0.00029802,9.934e-05,0.00029802,9.934e-05
3,13.4413,2.4644,5.98604,1.35021,0.015,0.23276,0.0507,0.03203,1.81351,5.95579,1.15666,0.000473664,0.000157888,0.000473664,0.000157888,0.000473664,0.000157888,0.000473664,0.000157888
4,17.0611,2.37946,6.01431,1.23542,0.015,0.23276,0.05921,0.03742,1.80084,5.91595,1.15183,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644
5,20.5759,2.23211,6.05605,1.16083,0.015,0.23276,0.05921,0.03742,1.80084,5.91595,1.15183,0.000817824,0.000272608,0.000817824,0.000272608,0.000817824,0.000272608,0.000817824,0.000272608
6,24.2194,2.14083,5.89585,1.12063,0.015,0.23276,0.06343,0.0456,1.77133,5.86633,1.12453,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878
7,27.6992,2.07355,6.09193,1.06098,0.015,0.23276,0.06343,0.0456,1.77133,5.86633,1.12453,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416
8,31.4575,2.38878,5.99051,1.23413,0.015,0.23276,0.06343,0.0456,1.77133,5.86633,1.12453,0.00131624,0.000438748,0.00131624,0.000438748,0.00131624,0.000438748,0.00131624,0.000438748
9,35.1717,3.16905,6.8898,1.39703,0.01556,0.24138,0.07125,0.05106,1.67767,5.8739,1.08921,0.00147763,0.000492544,0.00147763,0.000492544,0.00147763,0.000492544,0.00147763,0.000492544
10,38.6611,2.12691,5.94765,1.15522,0.01556,0.24138,0.07125,0.05106,1.67767,5.8739,1.08921,0.00163664,0.000545548,0.00163664,0.000545548,0.00163664,0.000545548,0.00163664,0.000545548
11,42.2846,2.22725,6.1181,1.08286,0.01556,0.24138,0.07125,0.05106,1.67767,5.8739,1.08921,0.00179328,0.00059776,0.00179328,0.00059776,0.00179328,0.00059776,0.00179328,0.00059776
12,45.8004,2.11543,6.18133,1.03125,0.01556,0.24138,0.07125,0.05106,1.67767,5.8739,1.08921,0.00194754,0.00064918,0.00194754,0.00064918,0.00194754,0.00064918,0.00194754,0.00064918
13,49.356,1.85774,5.67753,1.0818,0.01944,0.30172,0.07253,0.06616,1.68542,5.82444,1.0413,0.00209942,0.000699808,0.00209942,0.000699808,0.00209942,0.000699808,0.00209942,0.000699808
14,52.8157,2.10741,5.72831,1.13612,0.01944,0.30172,0.07253,0.06616,1.68542,5.82444,1.0413,0.00224893,0.000749644,0.00224893,0.000749644,0.00224893,0.000749644,0.00224893,0.000749644
