epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.08699,1.61655,2.94431,1.01331,0.80323,0.87978,0.9345,0.61089,1.24088,2.14082,0.90009,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05
2,10.2608,1.49966,2.89279,0.99534,0.81649,0.87931,0.93602,0.61245,1.23924,2.1323,0.89966,0.00029802,9.934e-05,0.00029802,9.934e-05,0.00029802,9.934e-05,0.00029802,9.934e-05
3,14.221,1.53344,3.00842,1.03954,0.8352,0.87931,0.93927,0.61838,1.23788,2.12278,0.89912,0.000473664,0.000157888,0.000473664,0.000157888,0.000473664,0.000157888,0.000473664,0.000157888
4,18.1358,1.45487,2.77582,0.93623,0.84119,0.87931,0.94323,0.62384,1.23587,2.10164,0.89838,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644
5,21.7929,1.3564,2.5457,0.92,0.84119,0.87931,0.94323,0.62384,1.23587,2.10164,0.89838,0.000817824,0.000272608,0.000817824,0.000272608,0.000817824,0.000272608,0.000817824,0.000272608
6,25.6629,1.3382,2.48515,0.88926,0.82957,0.88121,0.95203,0.63526,1.22997,2.0543,0.89698,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878
7,29.546,1.46598,3.1606,0.91039,0.82957,0.88121,0.95203,0.63526,1.22997,2.0543,0.89698,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416
8,33.4159,1.43395,2.89212,0.9511,0.82957,0.88121,0.95203,0.63526,1.22997,2.0543,0.89698,0.00131624,0.000438748,0.00131624,0.000438748,0.00131624,0.000438748,0.00131624,0.000438748
9,37.1832,1.88632,2.86422,1.10814,0.87537,0.88793,0.95967,0.66227,1.21879,1.98381,0.89438,0.00147763,0.000492544,0.00147763,0.000492544,0.00147763,0.000492544,0.00147763,0.000492544
10,40.8631,1.54109,2.71295,0.98347,0.87537,0.88793,0.95967,0.66227,1.21879,1.98381,0.89438,0.00163664,0.000545548,0.00163664,0.000545548,0.00163664,0.000545548,0.00163664,0.000545548
11,44.3862,1.47358,2.67366,0.91974,0.87537,0.88793,0.95967,0.66227,1.21879,1.98381,0.89438,0.00179328,0.00059776,0.00179328,0.00059776,0.00179328,0.00059776,0.00179328,0.00059776
12,48.1581,1.48461,2.73163,0.88727,0.87537,0.88793,0.95967,0.66227,1.21879,1.98381,0.89438,0.00194754,0.00064918,0.00194754,0.00064918,0.00194754,0.00064918,0.00194754,0.00064918
13,52.0595,1.38432,2.90381,0.95306,0.83858,0.93103,0.96559,0.69363,1.20917,1.95675,0.89022,0.00209942,0.000699808,0.00209942,0.000699808,0.00209942,0.000699808,0.00209942,0.000699808
14,55.6652,1.32411,2.52264,0.93729,0.83858,0.93103,0.96559,0.69363,1.20917,1.95675,0.89022,0.00224893,0.000749644,0.00224893,0.000749644,0.00224893,0.000749644,0.00224893,0.000749644
15,59.5987,1.41505,2.76984,0.89199,0.83858,0.93103,0.96559,0.69363,1.20917,1.95675,0.89022,0.00239606,0.000798688,0.00239606,0.000798688,0.00239606,0.000798688,0.00239606,0.000798688
