epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.6272,1.05635,3.66975,1.34649,0.00498,0.32593,0.05584,0.05068,0.71927,3.69939,1.18672,2.307e-05,7.69e-06,2.307e-05,7.69e-06,2.307e-05,7.69e-06,2.307e-05,7.69e-06
2,20.4349,1.01035,3.675,1.25214,0.00768,0.4,0.06173,0.05606,0.69158,3.68983,1.18033,6.85248e-05,2.28416e-05,6.85248e-05,2.28416e-05,6.85248e-05,2.28416e-05,6.85248e-05,2.28416e-05
3,29.1121,1.24533,4.10959,1.75703,0.00866,0.43704,0.06801,0.06016,0.66935,3.67813,1.18085,0.000113066,3.76887e-05,0.000113066,3.76887e-05,0.000113066,3.76887e-05,0.000113066,3.76887e-05
4,37.8985,1.09439,3.71749,1.3375,0.0099,0.45185,0.07845,0.07499,0.65072,3.6617,1.18222,0.000156694,5.22312e-05,0.000156694,5.22312e-05,0.000156694,5.22312e-05,0.000156694,5.22312e-05
5,46.3433,1.00216,3.64732,1.42399,0.01139,0.47407,0.06689,0.06263,0.62115,3.64997,1.18162,0.000199408,6.64693e-05,0.000199408,6.64693e-05,0.000199408,6.64693e-05,0.000199408,6.64693e-05
6,54.9328,1.08887,3.89561,1.4038,0.01126,0.45185,0.07119,0.0674,0.60342,3.64308,1.17718,0.000241208,8.04028e-05,0.000241208,8.04028e-05,0.000241208,8.04028e-05,0.000241208,8.04028e-05
7,63.1624,0.92058,3.74613,1.19154,0.01249,0.45185,0.08368,0.0798,0.58802,3.64173,1.16732,0.000282095,9.40318e-05,0.000282095,9.40318e-05,0.000282095,9.40318e-05,0.000282095,9.40318e-05
8,71.7971,0.88789,3.79712,1.10717,0.01382,0.43704,0.08275,0.07851,0.57699,3.64076,1.17664,0.000322069,0.000107356,0.000322069,0.000107356,0.000322069,0.000107356,0.000322069,0.000107356
9,80.1788,0.83334,3.58231,1.20164,0.0122,0.41481,0.08335,0.08014,0.57143,3.64156,1.18964,0.000361129,0.000120376,0.000361129,0.000120376,0.000361129,0.000120376,0.000361129,0.000120376
10,88.2627,0.83333,3.58743,1.23387,0.01241,0.41481,0.08053,0.07803,0.56107,3.64075,1.18311,0.000399275,0.000133092,0.000399275,0.000133092,0.000399275,0.000133092,0.000399275,0.000133092
