epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.87649,1.0759,3.73011,1.29323,0.0079,0.43704,0.06255,0.05767,0.68437,3.68743,1.18724,0.00011535,3.845e-05,0.00011535,3.845e-05,0.00011535,3.845e-05,0.00011535,3.845e-05
2,17.2288,1.07444,3.74701,1.29058,0.01081,0.43704,0.07428,0.06969,0.65535,3.65161,1.19965,0.000252095,8.40317e-05,0.000252095,8.40317e-05,0.000252095,8.40317e-05,0.000252095,8.40317e-05
3,24.497,1.00768,3.68421,1.30335,0.01091,0.39259,0.07458,0.07122,0.61185,3.64007,1.18234,0.000387013,0.000129004,0.000387013,0.000129004,0.000387013,0.000129004,0.000387013,0.000129004
4,31.4932,1.03627,3.74813,1.27371,0.01193,0.39259,0.07639,0.07313,0.55722,3.6367,1.14915,0.000520104,0.000173368,0.000520104,0.000173368,0.000520104,0.000173368,0.000520104,0.000173368
5,38.634,0.92947,3.675,1.23979,0.01196,0.39259,0.09055,0.08566,0.53526,3.63103,1.13999,0.000651368,0.000217123,0.000651368,0.000217123,0.000651368,0.000217123,0.000651368,0.000217123
6,45.9089,0.8954,3.72286,1.20906,0.04865,0.45185,0.11739,0.10841,0.53259,3.61673,1.17088,0.000780804,0.000260268,0.000780804,0.000260268,0.000780804,0.000260268,0.000780804,0.000260268
7,52.783,0.89882,3.66625,1.25291,0.04865,0.45185,0.11739,0.10841,0.53259,3.61673,1.17088,0.000908414,0.000302805,0.000908414,0.000302805,0.000908414,0.000302805,0.000908414,0.000302805
8,60.1402,0.84633,3.72764,1.25502,0.03636,0.6,0.11246,0.10625,0.5281,3.61128,1.1749,0.0010342,0.000344732,0.0010342,0.000344732,0.0010342,0.000344732,0.0010342,0.000344732
9,67.1314,0.8227,3.64739,1.25441,0.03636,0.6,0.11246,0.10625,0.5281,3.61128,1.1749,0.00115815,0.00038605,0.00115815,0.00038605,0.00115815,0.00038605,0.00115815,0.00038605
10,74.2341,0.8633,3.68218,1.23699,0.02802,0.66667,0.11936,0.11582,0.56818,3.61075,1.11701,0.00128028,0.00042676,0.00128028,0.00042676,0.00128028,0.00042676,0.00128028,0.00042676
11,81.2322,0.75943,3.63257,1.16313,0.02802,0.66667,0.11936,0.11582,0.56818,3.61075,1.11701,0.00140058,0.00046686,0.00140058,0.00046686,0.00140058,0.00046686,0.00140058,0.00046686
12,88.175,0.7609,3.5715,1.21833,0.02802,0.66667,0.11936,0.11582,0.56818,3.61075,1.11701,0.00151905,0.000506351,0.00151905,0.000506351,0.00151905,0.000506351,0.00151905,0.000506351
13,95.2918,0.72825,3.62959,1.13397,0.02264,0.65556,0.15238,0.15075,0.60209,3.58813,1.10035,0.0016357,0.000545233,0.0016357,0.000545233,0.0016357,0.000545233,0.0016357,0.000545233
14,102.42,0.72696,3.51871,1.18718,0.02264,0.65556,0.15238,0.15075,0.60209,3.58813,1.10035,0.00175052,0.000583506,0.00175052,0.000583506,0.00175052,0.000583506,0.00175052,0.000583506
15,109.399,0.79679,3.595,1.2073,0.02264,0.65556,0.15238,0.15075,0.60209,3.58813,1.10035,0.00186351,0.000621171,0.00186351,0.000621171,0.00186351,0.000621171,0.00186351,0.000621171
16,116.716,0.6967,3.55409,1.19235,0.01723,0.72222,0.1858,0.1424,0.64243,3.55251,1.07389,0.00197468,0.000658226,0.00197468,0.000658226,0.00197468,0.000658226,0.00197468,0.000658226
17,123.921,0.64911,3.58369,1.09671,0.01723,0.72222,0.1858,0.1424,0.64243,3.55251,1.07389,0.00206338,0.000687794,0.00206338,0.000687794,0.00206338,0.000687794,0.00206338,0.000687794
