epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.14129,1.156,3.30573,0.94729,0.26225,0.92241,0.7721,0.55434,1.08728,2.88187,0.8832,2.307e-05,7.69e-06,2.307e-05,7.69e-06,2.307e-05,7.69e-06,2.307e-05,7.69e-06
2,8.34821,1.16953,3.24969,0.92391,0.26355,0.92241,0.77098,0.55263,1.08466,2.88464,0.88228,6.87532e-05,2.29177e-05,6.87532e-05,2.29177e-05,6.87532e-05,2.29177e-05,6.87532e-05,2.29177e-05
3,11.8198,1.1704,3.36555,0.93475,0.265,0.91379,0.76662,0.54873,1.08205,2.89172,0.8816,0.000113827,3.79425e-05,0.000113827,3.79425e-05,0.000113827,3.79425e-05,0.000113827,3.79425e-05
4,15.193,1.05647,3.2322,0.91658,0.26835,0.91379,0.76933,0.55209,1.07798,2.89013,0.88,0.000158292,5.27642e-05,0.000158292,5.27642e-05,0.000158292,5.27642e-05,0.000158292,5.27642e-05
5,18.5702,1.22099,3.24162,0.95822,0.26617,0.92241,0.77524,0.55727,1.07645,2.87063,0.88062,0.000202149,6.73829e-05,0.000202149,6.73829e-05,0.000202149,6.73829e-05,0.000202149,6.73829e-05
6,21.8232,1.29617,3.27305,0.9952,0.26617,0.92241,0.77524,0.55727,1.07645,2.87063,0.88062,0.000245396,8.17985e-05,0.000245396,8.17985e-05,0.000245396,8.17985e-05,0.000245396,8.17985e-05
7,25.138,1.18046,3.22419,0.95577,0.26866,0.93103,0.78595,0.56441,1.07477,2.84683,0.88141,0.000288034,9.60112e-05,0.000288034,9.60112e-05,0.000288034,9.60112e-05,0.000288034,9.60112e-05
8,28.4897,1.09567,3.27814,0.90152,0.26866,0.93103,0.78595,0.56441,1.07477,2.84683,0.88141,0.000330062,0.000110021,0.000330062,0.000110021,0.000330062,0.000110021,0.000330062,0.000110021
9,32.0946,1.18964,3.30223,0.93829,0.26764,0.94828,0.79002,0.56907,1.0728,2.82082,0.88073,0.000371482,0.000123827,0.000371482,0.000123827,0.000371482,0.000123827,0.000371482,0.000123827
10,35.4235,1.13771,3.28312,0.96078,0.26764,0.94828,0.79002,0.56907,1.0728,2.82082,0.88073,0.000412293,0.000137431,0.000412293,0.000137431,0.000412293,0.000137431,0.000412293,0.000137431
11,38.8085,1.01799,3.09678,0.89223,0.26683,0.9569,0.79443,0.57374,1.06816,2.76645,0.87976,0.000452495,0.000150832,0.000452495,0.000150832,0.000452495,0.000150832,0.000452495,0.000150832
12,42.1394,1.15744,3.20532,0.97162,0.26683,0.9569,0.79443,0.57374,1.06816,2.76645,0.87976,0.000492088,0.000164029,0.000492088,0.000164029,0.000492088,0.000164029,0.000492088,0.000164029
