epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.16064,1.38576,1.94866,0.94245,0.98627,1,0.99449,0.76236,1.08555,1.26945,0.87033,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05
2,10.2632,1.27855,1.72867,0.93257,0.9853,1,0.99449,0.76376,1.08609,1.26924,0.87039,0.00029802,9.934e-05,0.00029802,9.934e-05,0.00029802,9.934e-05,0.00029802,9.934e-05
3,14.3379,1.25762,1.85321,0.95874,0.98758,1,0.99466,0.76187,1.09027,1.26611,0.87097,0.000473664,0.000157888,0.000473664,0.000157888,0.000473664,0.000157888,0.000473664,0.000157888
4,18.1883,1.13427,1.64157,0.88043,0.98416,1,0.99483,0.76112,1.09584,1.26238,0.87147,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644
5,21.9929,1.1015,1.44228,0.8735,0.98416,1,0.99483,0.76112,1.09584,1.26238,0.87147,0.000817824,0.000272608,0.000817824,0.000272608,0.000817824,0.000272608,0.000817824,0.000272608
6,25.9216,1.14418,1.39668,0.86058,0.98936,1,0.995,0.76185,1.10168,1.25422,0.87163,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878
7,29.6685,1.09492,1.72517,0.84557,0.98936,1,0.995,0.76185,1.10168,1.25422,0.87163,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416
8,33.527,1.20718,1.66135,0.90179,0.98936,1,0.995,0.76185,1.10168,1.25422,0.87163,0.00131624,0.000438748,0.00131624,0.000438748,0.00131624,0.000438748,0.00131624,0.000438748
9,37.3982,1.5092,2.477,0.96153,0.99821,1,0.995,0.75405,1.11992,1.24623,0.87412,0.00147763,0.000492544,0.00147763,0.000492544,0.00147763,0.000492544,0.00147763,0.000492544
10,41.1403,1.20716,1.6631,0.90779,0.99821,1,0.995,0.75405,1.11992,1.24623,0.87412,0.00163664,0.000545548,0.00163664,0.000545548,0.00163664,0.000545548,0.00163664,0.000545548
