epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.0124,0.43847,1.99976,0.97288,0.93969,0.55556,0.78731,0.72274,0.39791,1.6151,0.84696,0.00011535,3.845e-05,0.00011535,3.845e-05,0.00011535,3.845e-05,0.00011535,3.845e-05
2,17.5637,0.35905,2.06284,0.92151,0.93422,0.55556,0.79025,0.72844,0.3976,1.61117,0.84615,0.000252095,8.40317e-05,0.000252095,8.40317e-05,0.000252095,8.40317e-05,0.000252095,8.40317e-05
3,25.2424,0.37081,1.95777,0.95678,0.9396,0.55556,0.79471,0.72849,0.39269,1.60841,0.84187,0.000387013,0.000129004,0.000387013,0.000129004,0.000387013,0.000129004,0.000387013,0.000129004
4,32.7055,0.43537,1.97889,0.97786,0.94479,0.55556,0.79275,0.72871,0.38978,1.60765,0.84318,0.000520104,0.000173368,0.000520104,0.000173368,0.000520104,0.000173368,0.000520104,0.000173368
5,40.0314,0.34073,1.9288,0.91795,0.62925,0.69789,0.80289,0.73623,0.38686,1.59142,0.83882,0.000651368,0.000217123,0.000651368,0.000217123,0.000651368,0.000217123,0.000651368,0.000217123
6,47.5901,0.32192,1.97553,0.91488,0.60714,0.71081,0.80484,0.74097,0.39015,1.57758,0.83649,0.000780804,0.000260268,0.000780804,0.000260268,0.000780804,0.000260268,0.000780804,0.000260268
7,54.8179,0.36425,1.92709,0.92665,0.60714,0.71081,0.80484,0.74097,0.39015,1.57758,0.83649,0.000908414,0.000302805,0.000908414,0.000302805,0.000908414,0.000302805,0.000908414,0.000302805
8,62.2974,0.36276,2.00517,0.94156,0.6569,0.69283,0.82118,0.75408,0.38921,1.54491,0.83506,0.0010342,0.000344732,0.0010342,0.000344732,0.0010342,0.000344732,0.0010342,0.000344732
9,69.7618,0.42765,1.95127,0.96431,0.6569,0.69283,0.82118,0.75408,0.38921,1.54491,0.83506,0.00115815,0.00038605,0.00115815,0.00038605,0.00115815,0.00038605,0.00115815,0.00038605
10,77.0308,0.41712,2.06406,0.97359,0.79319,0.69469,0.82136,0.7533,0.39037,1.50767,0.83464,0.00128028,0.00042676,0.00128028,0.00042676,0.00128028,0.00042676,0.00128028,0.00042676
11,84.3717,0.37133,1.93459,0.92791,0.79319,0.69469,0.82136,0.7533,0.39037,1.50767,0.83464,0.00140058,0.00046686,0.00140058,0.00046686,0.00140058,0.00046686,0.00140058,0.00046686
12,91.8234,0.34551,1.82334,0.95828,0.79319,0.69469,0.82136,0.7533,0.39037,1.50767,0.83464,0.00151905,0.000506351,0.00151905,0.000506351,0.00151905,0.000506351,0.00151905,0.000506351
13,99.2333,0.39418,1.97283,0.93766,0.94244,0.60791,0.82102,0.75671,0.41001,1.46677,0.82957,0.0016357,0.000545233,0.0016357,0.000545233,0.0016357,0.000545233,0.0016357,0.000545233
14,106.73,0.38321,1.80444,0.94474,0.94244,0.60791,0.82102,0.75671,0.41001,1.46677,0.82957,0.00175052,0.000583506,0.00175052,0.000583506,0.00175052,0.000583506,0.00175052,0.000583506
15,114.259,0.45251,1.93526,1.0088,0.94244,0.60791,0.82102,0.75671,0.41001,1.46677,0.82957,0.00186351,0.000621171,0.00186351,0.000621171,0.00186351,0.000621171,0.00186351,0.000621171
16,121.773,0.40506,1.83606,0.98729,0.9474,0.66667,0.80035,0.73504,0.40254,1.53541,0.83417,0.00197468,0.000658226,0.00197468,0.000658226,0.00197468,0.000658226,0.00197468,0.000658226
17,129.346,0.38346,1.63825,0.9215,0.9474,0.66667,0.80035,0.73504,0.40254,1.53541,0.83417,0.00206338,0.000687794,0.00206338,0.000687794,0.00206338,0.000687794,0.00206338,0.000687794
18,136.648,0.31909,1.70691,0.90503,0.9474,0.66667,0.80035,0.73504,0.40254,1.53541,0.83417,0.00204815,0.000682718,0.00204815,0.000682718,0.00204815,0.000682718,0.00204815,0.000682718
