epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.05536,1.38576,1.94866,0.94245,0.98627,1,0.99449,0.76236,1.08555,1.26945,0.87033,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05
2,11.375,1.27855,1.72867,0.93257,0.9853,1,0.99449,0.76376,1.08609,1.26924,0.87039,0.00029802,9.934e-05,0.00029802,9.934e-05,0.00029802,9.934e-05,0.00029802,9.934e-05
3,16.2523,1.25762,1.85321,0.95874,0.98758,1,0.99466,0.76187,1.09027,1.26611,0.87097,0.000473664,0.000157888,0.000473664,0.000157888,0.000473664,0.000157888,0.000473664,0.000157888
4,21.0474,1.13427,1.64157,0.88043,0.98416,1,0.99483,0.76112,1.09584,1.26238,0.87147,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644
5,25.6837,1.1015,1.44228,0.8735,0.98416,1,0.99483,0.76112,1.09584,1.26238,0.87147,0.000817824,0.000272608,0.000817824,0.000272608,0.000817824,0.000272608,0.000817824,0.000272608
6,30.5485,1.14418,1.39668,0.86058,0.98936,1,0.995,0.76185,1.10168,1.25422,0.87163,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878,0.00098634,0.00032878
7,35.6212,1.09492,1.72517,0.84557,0.98936,1,0.995,0.76185,1.10168,1.25422,0.87163,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416
8,40.548,1.20718,1.66135,0.90179,0.98936,1,0.995,0.76185,1.10168,1.25422,0.87163,0.00131624,0.000438748,0.00131624,0.000438748,0.00131624,0.000438748,0.00131624,0.000438748
9,45.5876,1.5092,2.477,0.96153,0.99821,1,0.995,0.75405,1.11992,1.24623,0.87412,0.00147763,0.000492544,0.00147763,0.000492544,0.00147763,0.000492544,0.00147763,0.000492544
10,50.1619,1.20716,1.6631,0.90779,0.99821,1,0.995,0.75405,1.11992,1.24623,0.87412,0.00163664,0.000545548,0.00163664,0.000545548,0.00163664,0.000545548,0.00163664,0.000545548
11,55.0031,1.2162,1.67066,0.86537,0.99821,1,0.995,0.75405,1.11992,1.24623,0.87412,0.00179328,0.00059776,0.00179328,0.00059776,0.00179328,0.00059776,0.00179328,0.00059776
12,59.637,1.1559,1.72462,0.84504,0.99821,1,0.995,0.75405,1.11992,1.24623,0.87412,0.00194754,0.00064918,0.00194754,0.00064918,0.00194754,0.00064918,0.00194754,0.00064918
13,64.6608,1.16964,1.73918,0.89837,0.99983,1,0.995,0.7572,1.12579,1.24591,0.87535,0.00209942,0.000699808,0.00209942,0.000699808,0.00209942,0.000699808,0.00209942,0.000699808
14,69.1351,1.0853,1.65495,0.87789,0.99983,1,0.995,0.7572,1.12579,1.24591,0.87535,0.00224893,0.000749644,0.00224893,0.000749644,0.00224893,0.000749644,0.00224893,0.000749644
15,73.9683,1.17955,1.58487,0.85001,0.99983,1,0.995,0.7572,1.12579,1.24591,0.87535,0.00239606,0.000798688,0.00239606,0.000798688,0.00239606,0.000798688,0.00239606,0.000798688
16,78.7079,1.20148,1.58898,0.89442,0.99983,1,0.995,0.7572,1.12579,1.24591,0.87535,0.00254082,0.00084694,0.00254082,0.00084694,0.00254082,0.00084694,0.00254082,0.00084694
17,83.381,1.13902,1.58789,0.88502,0.99983,1,0.995,0.7572,1.12579,1.24591,0.87535,0.0026832,0.0008944,0.0026832,0.0008944,0.0026832,0.0008944,0.0026832,0.0008944
18,88.3154,1.1673,1.4781,0.84823,0.99533,0.99138,0.995,0.76582,1.08087,1.26277,0.86664,0.0028232,0.000941068,0.0028232,0.000941068,0.0028232,0.000941068,0.0028232,0.000941068
19,93.3117,1.24821,1.83311,0.91374,0.99533,0.99138,0.995,0.76582,1.08087,1.26277,0.86664,0.00296083,0.000986944,0.00296083,0.000986944,0.00296083,0.000986944,0.00296083,0.000986944
20,97.8553,1.09465,2.10533,0.86206,0.99533,0.99138,0.995,0.76582,1.08087,1.26277,0.86664,0.00309608,0.00103203,0.00309608,0.00103203,0.00309608,0.00103203,0.00309608,0.00103203
21,102.786,1.02433,1.52208,0.85171,0.99533,0.99138,0.995,0.76582,1.08087,1.26277,0.86664,0.00322896,0.00107632,0.00322896,0.00107632,0.00322896,0.00107632,0.00322896,0.00107632
22,107.717,1.20661,1.74325,0.90226,0.99533,0.99138,0.995,0.76582,1.08087,1.26277,0.86664,0.00335946,0.00111982,0.00335946,0.00111982,0.00335946,0.00111982,0.00335946,0.00111982
23,112.338,1.08568,1.45432,0.85053,0.99533,0.99138,0.995,0.76582,1.08087,1.26277,0.86664,0.00348758,0.00116253,0.00348758,0.00116253,0.00348758,0.00116253,0.00348758,0.00116253
24,117.037,1.01364,1.48566,0.8568,0.99533,0.99138,0.995,0.76582,1.08087,1.26277,0.86664,0.00361333,0.00120444,0.00361333,0.00120444,0.00361333,0.00120444,0.00361333,0.00120444
25,121.818,1.15974,1.64767,0.88862,0.99533,0.99138,0.995,0.76582,1.08087,1.26277,0.86664,0.0037367,0.00124557,0.0037367,0.00124557,0.0037367,0.00124557,0.0037367,0.00124557
26,126.453,1.10863,1.58555,0.85739,0.99533,0.99138,0.995,0.76582,1.08087,1.26277,0.86664,0.0038577,0.0012859,0.0038577,0.0012859,0.0038577,0.0012859,0.0038577,0.0012859
27,131.36,1.2068,1.52183,0.89974,0.9824,0.99138,0.99474,0.76564,1.08901,1.29892,0.86882,0.00397632,0.00132544,0.00397632,0.00132544,0.00397632,0.00132544,0.00397632,0.00132544
28,136.264,1.29508,1.71872,0.89975,0.9824,0.99138,0.99474,0.76564,1.08901,1.29892,0.86882,0.00409256,0.00136419,0.00409256,0.00136419,0.00409256,0.00136419,0.00409256,0.00136419
29,140.868,1.23027,1.52293,0.85607,0.9824,0.99138,0.99474,0.76564,1.08901,1.29892,0.86882,0.00420643,0.00140214,0.00420643,0.00140214,0.00420643,0.00140214,0.00420643,0.00140214
30,145.454,1.05959,1.68236,0.88739,0.9824,0.99138,0.99474,0.76564,1.08901,1.29892,0.86882,0.00431792,0.00143931,0.00431792,0.00143931,0.00431792,0.00143931,0.00431792,0.00143931
31,150.39,1.05991,1.49283,0.84096,0.9824,0.99138,0.99474,0.76564,1.08901,1.29892,0.86882,0.00442704,0.00147568,0.00442704,0.00147568,0.00442704,0.00147568,0.00442704,0.00147568
32,155.244,1.27531,1.8546,0.92714,0.9824,0.99138,0.99474,0.76564,1.08901,1.29892,0.86882,0.00453378,0.00151126,0.00453378,0.00151126,0.00453378,0.00151126,0.00453378,0.00151126
33,160.041,1.14882,1.59351,0.89698,0.9824,0.99138,0.99474,0.76564,1.08901,1.29892,0.86882,0.00463814,0.00154605,0.00463814,0.00154605,0.00463814,0.00154605,0.00463814,0.00154605
34,164.853,1.25702,1.76812,0.91899,0.9824,0.99138,0.99474,0.76564,1.08901,1.29892,0.86882,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
35,170.014,1.17207,1.69963,0.9051,0.9824,0.99138,0.99474,0.76564,1.08901,1.29892,0.86882,0.0046536,0.0015512,0.0046536,0.0015512,0.0046536,0.0015512,0.0046536,0.0015512
36,174.937,1.29345,1.89243,0.94823,0.9824,0.99138,0.99474,0.76564,1.08901,1.29892,0.86882,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
37,179.89,1.26204,1.78524,0.91182,0.9938,0.99138,0.995,0.75342,1.09562,1.24696,0.86241,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
38,184.708,1.17604,1.52315,0.8306,0.9938,0.99138,0.995,0.75342,1.09562,1.24696,0.86241,0.0045348,0.0015116,0.0045348,0.0015116,0.0045348,0.0015116,0.0045348,0.0015116
39,189.647,1.18722,1.78322,0.91434,0.9938,0.99138,0.995,0.75342,1.09562,1.24696,0.86241,0.0044952,0.0014984,0.0044952,0.0014984,0.0044952,0.0014984,0.0044952,0.0014984
40,194.485,1.19242,1.69198,0.90207,0.9938,0.99138,0.995,0.75342,1.09562,1.24696,0.86241,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
41,199.413,1.163,1.68862,0.8917,0.9938,0.99138,0.995,0.75342,1.09562,1.24696,0.86241,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
42,204.308,1.46302,1.55147,1.0006,0.9938,0.99138,0.995,0.75342,1.09562,1.24696,0.86241,0.0043764,0.0014588,0.0043764,0.0014588,0.0043764,0.0014588,0.0043764,0.0014588
43,209.386,1.33326,1.67177,0.92828,0.9938,0.99138,0.995,0.75342,1.09562,1.24696,0.86241,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
44,214.143,1.28582,1.55524,0.9036,0.9938,0.99138,0.995,0.75342,1.09562,1.24696,0.86241,0.0042972,0.0014324,0.0042972,0.0014324,0.0042972,0.0014324,0.0042972,0.0014324
45,218.913,1.13176,1.45214,0.83374,0.9938,0.99138,0.995,0.75342,1.09562,1.24696,0.86241,0.0042576,0.0014192,0.0042576,0.0014192,0.0042576,0.0014192,0.0042576,0.0014192
